"date","year","description"
"1900-2-1","1900","el doctor Robert Koch reitera su teoría de que la malaria es transmitida por los mosquitos."
"1900-2-1","1900","en el protectorado francés de Argelia, se inaugura la línea férrea de Aïn Séfra a Djennienbou."
"1900-2-1","1900","en la taberna modernista Els Quatre Gats (de Barcelona), el pintor Pablo Picasso realiza su primera muestra individual de dibujos."
"1901-2-1","1901","Pablo Picasso y F. Soler fundan la revista Arte Joven, de la que se publicarán "
"1902-2-1","1902","en China se adoptan medidas liberalizadoras y europeizantes."
"1902-2-1","1902","en el Imperio Ruso se desata una huelga general estudiantil."
"1905-2-1","1905","en Rusia, el zar Nicolás II recibe a los representantes de los obreros de San Petersburgo."
"1907-2-1","1907","en Bilbao se estrena la obra El intruso, de Vicente Blasco Ibáñez. La obra constituyó una gran manifestación anticlerical."
"1910-2-1","1910","en Palermo, Buenos Aires, República Argentina, se funda el Club Atlético Excursionistas."
"1911-2-1","1911","en los muelles de Jersey City (Nueva Jersey) estalla una lancha cargada de dinamita; perecen "
"1912-2-1","1912","en España se funda la Escuela Naval Militar."
"1913-2-1","1913","en Madrid se inaugura el reconstruido Teatro de la Zarzuela, que se había incendiado tres años antes."
"1914-2-1","1914","En Paraná, Entre Ríos, República Argentina, se funda el Club Atlético Patronato de la Juventud Católica, conocido simplemente como ""Patronato""."
"1915-2-1","1915","en el marco de la primera guerra mundial, un submarino alemán torpedea cuatro navíos mercantes británicos."
"1917-2-1","1917","Alemania declara la guerra submarina total, por lo que cualquier buque puede ser atacado sin previo aviso."
"1918-2-1","1918","en el Estado de Yucatán (México) Salvador Alvarado entrega sus poderes."
"1918-2-1","1918","la Unión Soviética adopta el calendario gregoriano."
"1919-2-1","1919","Konrad Adenauer, alcalde de Colonia, proyecta la fundación de la República Federal de Alemania (1949-1990)."
"1923-2-1","1923","regresan a España, tras "
"1923-2-1","1923","en Alemania la inflación parece no detenerse: un dólar se cambia por "
"1924-2-1","1924","Gran Bretaña reconoce a la Unión Soviética (creada siete años antes)."
